"id","textunit_id","textfragment_id"
2106,527,527
2632,527,1053
3158,527,1579
2107,528,528
2633,528,1054
3159,528,1580
2108,529,529
2634,529,1055
3160,529,1581
2109,530,530
2635,530,1056
3161,530,1582
2110,531,531
2636,531,1057
3162,531,1583
2111,532,532
2637,532,1058
3163,532,1584
2112,533,533
2638,533,1059
3164,533,1585
2113,534,534
2639,534,1060
3165,534,1586
2114,535,535
2640,535,1061
3166,535,1587
2115,536,536
2641,536,1062
3167,536,1588
2116,537,537
2642,537,1063
3168,537,1589
2117,538,538
2643,538,1064
3169,538,1590
2118,539,539
2644,539,1065
3170,539,1591
2119,540,540
2645,540,1066
3171,540,1592
2120,541,541
2646,541,1067
3172,541,1593
2121,542,542
2647,542,1068
3173,542,1594
2122,543,543
2648,543,1069
3174,543,1595
2123,544,544
2649,544,1070
3175,544,1596
2124,545,545
2650,545,1071
3176,545,1597
2125,546,546
2651,546,1072
3177,546,1598
2126,547,547
2652,547,1073
3178,547,1599
2127,548,548
2653,548,1074
3179,548,1600
2128,549,549
2654,549,1075
3180,549,1601
2129,550,550
2655,550,1076
3181,550,1602
2130,551,551
2656,551,1077
3182,551,1603
2131,552,552
2657,552,1078
3183,552,1604
2132,553,553
2658,553,1079
3184,553,1605
2133,554,554
2659,554,1080
3185,554,1606
2134,555,555
2660,555,1081
3186,555,1607
2135,556,556
2661,556,1082
3187,556,1608
2136,557,557
2662,557,1083
3188,557,1609
2137,558,558
2663,558,1084
3189,558,1610
2138,559,559
2664,559,1085
3190,559,1611
2139,560,560
2665,560,1086
3191,560,1612
2140,561,561
2666,561,1087
3192,561,1613
2141,562,562
2667,562,1088
3193,562,1614
2142,563,563
2668,563,1089
3194,563,1615
2143,564,564
2669,564,1090
3195,564,1616
2144,565,565
2670,565,1091
3196,565,1617
2145,566,566
2671,566,1092
3197,566,1618
2146,567,567
2672,567,1093
3198,567,1619
2147,568,568
2673,568,1094
3199,568,1620
2148,569,569
2674,569,1095
3200,569,1621
2149,570,570
2675,570,1096
3201,570,1622
2150,571,571
2676,571,1097
3202,571,1623
2151,572,572
2677,572,1098
3203,572,1624
2152,573,573
2678,573,1099
3204,573,1625
2153,574,574
2679,574,1100
3205,574,1626
2154,575,575
2680,575,1101
3206,575,1627
2155,576,576
2681,576,1102
3207,576,1628
2156,577,577
2682,577,1103
3208,577,1629
2157,578,578
2683,578,1104
3209,578,1630
2158,579,579
2684,579,1105
3210,579,1631
2159,580,580
2685,580,1106
3211,580,1632
2160,581,581
2686,581,1107
3212,581,1633
2161,582,582
2687,582,1108
3213,582,1634
2162,583,583
2688,583,1109
3214,583,1635
2163,584,584
2689,584,1110
3215,584,1636
2164,585,585
2690,585,1111
3216,585,1637
2165,586,586
2691,586,1112
3217,586,1638
2166,587,587
2692,587,1113
3218,587,1639
2167,588,588
2693,588,1114
3219,588,1640
2168,589,589
2694,589,1115
3220,589,1641
2169,590,590
2695,590,1116
3221,590,1642
2170,591,591
2696,591,1117
3222,591,1643
2171,592,592
2697,592,1118
3223,592,1644
2172,593,593
2698,593,1119
3224,593,1645
2173,594,594
2699,594,1120
3225,594,1646
2174,595,595
2700,595,1121
3226,595,1647
2175,596,596
2701,596,1122
3227,596,1648
2176,597,597
2702,597,1123
3228,597,1649
2177,598,598
2703,598,1124
3229,598,1650
2178,599,599
2704,599,1125
3230,599,1651
2179,600,600
2705,600,1126
3231,600,1652
2180,601,601
2706,601,1127
3232,601,1653
2181,602,602
2707,602,1128
3233,602,1654
2182,603,603
2708,603,1129
3234,603,1655
2183,604,604
2709,604,1130
3235,604,1656
2184,605,605
2710,605,1131
3236,605,1657
2185,606,606
2711,606,1132
3237,606,1658
2186,607,607
2712,607,1133
3238,607,1659
2187,608,608
2713,608,1134
3239,608,1660
2188,609,609
2714,609,1135
3240,609,1661
2189,610,610
2715,610,1136
3241,610,1662
2190,611,611
2716,611,1137
3242,611,1663
2191,612,612
2717,612,1138
3243,612,1664
2192,613,613
2718,613,1139
3244,613,1665
2193,614,614
2719,614,1140
3245,614,1666
2194,615,615
2720,615,1141
3246,615,1667
2195,616,616
2721,616,1142
3247,616,1668
2196,617,617
2722,617,1143
3248,617,1669
2197,618,618
2723,618,1144
3249,618,1670
2198,619,619
2724,619,1145
3250,619,1671
2199,620,620
2725,620,1146
3251,620,1672
2200,621,621
2726,621,1147
3252,621,1673
2201,622,622
2727,622,1148
3253,622,1674
2202,623,623
2728,623,1149
3254,623,1675
2203,624,624
2729,624,1150
3255,624,1676
2204,625,625
2730,625,1151
3256,625,1677
2205,626,626
2731,626,1152
3257,626,1678
2206,627,627
2732,627,1153
3258,627,1679
2207,628,628
2733,628,1154
3259,628,1680
2208,629,629
2734,629,1155
3260,629,1681
2209,630,630
2735,630,1156
3261,630,1682
2210,631,631
2736,631,1157
3262,631,1683
2211,632,632
2737,632,1158
3263,632,1684
2212,633,633
2738,633,1159
3264,633,1685
2213,634,634
2739,634,1160
3265,634,1686
2214,635,635
2740,635,1161
3266,635,1687
2215,636,636
2741,636,1162
3267,636,1688
2216,637,637
2742,637,1163
3268,637,1689
2217,638,638
2743,638,1164
3269,638,1690
2218,639,639
2744,639,1165
3270,639,1691
2219,640,640
2745,640,1166
3271,640,1692
2220,641,641
2746,641,1167
3272,641,1693
2221,642,642
2747,642,1168
3273,642,1694
2222,643,643
2748,643,1169
3274,643,1695
2223,644,644
2749,644,1170
3275,644,1696
2224,645,645
2750,645,1171
3276,645,1697
2225,646,646
2751,646,1172
3277,646,1698
2226,647,647
2752,647,1173
3278,647,1699
2227,648,648
2753,648,1174
3279,648,1700
2228,649,649
2754,649,1175
3280,649,1701
2229,650,650
2755,650,1176
3281,650,1702
2230,651,651
2756,651,1177
3282,651,1703
2231,652,652
2757,652,1178
3283,652,1704
2232,653,653
2758,653,1179
3284,653,1705
2233,654,654
2759,654,1180
3285,654,1706
2234,655,655
2760,655,1181
3286,655,1707
2235,656,656
2761,656,1182
3287,656,1708
2236,657,657
2762,657,1183
3288,657,1709
2237,658,658
2763,658,1184
3289,658,1710
2238,659,659
2764,659,1185
3290,659,1711
2239,660,660
2765,660,1186
3291,660,1712
2240,661,661
2766,661,1187
3292,661,1713
2241,662,662
2767,662,1188
3293,662,1714
2242,663,663
2768,663,1189
3294,663,1715
2243,664,664
2769,664,1190
3295,664,1716
2244,665,665
2770,665,1191
3296,665,1717
2245,666,666
2771,666,1192
3297,666,1718
2246,667,667
2772,667,1193
3298,667,1719
2247,668,668
2773,668,1194
3299,668,1720
2248,669,669
2774,669,1195
3300,669,1721
2249,670,670
2775,670,1196
3301,670,1722
2250,671,671
2776,671,1197
3302,671,1723
2251,672,672
2777,672,1198
3303,672,1724
2252,673,673
2778,673,1199
3304,673,1725
2253,674,674
2779,674,1200
3305,674,1726
2254,675,675
2780,675,1201
3306,675,1727
2255,676,676
2781,676,1202
3307,676,1728
2256,677,677
2782,677,1203
3308,677,1729
2257,678,678
2783,678,1204
3309,678,1730
2258,679,679
2784,679,1205
3310,679,1731
2259,680,680
2785,680,1206
3311,680,1732
2260,681,681
2786,681,1207
3312,681,1733
2261,682,682
2787,682,1208
3313,682,1734
2262,683,683
2788,683,1209
3314,683,1735
2263,684,684
2789,684,1210
3315,684,1736
2264,685,685
2790,685,1211
3316,685,1737
2265,686,686
2791,686,1212
3317,686,1738
2266,687,687
2792,687,1213
3318,687,1739
2267,688,688
2793,688,1214
3319,688,1740
2268,689,689
2794,689,1215
3320,689,1741
2269,690,690
2795,690,1216
3321,690,1742
2270,691,691
2796,691,1217
3322,691,1743
2271,692,692
2797,692,1218
3323,692,1744
2272,693,693
2798,693,1219
3324,693,1745
2273,694,694
2799,694,1220
3325,694,1746
2274,695,695
2800,695,1221
3326,695,1747
2275,696,696
2801,696,1222
3327,696,1748
2276,697,697
2802,697,1223
3328,697,1749
2277,698,698
2803,698,1224
3329,698,1750
2278,699,699
2804,699,1225
3330,699,1751
2279,700,700
2805,700,1226
3331,700,1752
2280,701,701
2806,701,1227
3332,701,1753
2281,702,702
2807,702,1228
3333,702,1754
2282,703,703
2808,703,1229
3334,703,1755
2283,704,704
2809,704,1230
3335,704,1756
2284,705,705
2810,705,1231
3336,705,1757
2285,706,706
2811,706,1232
3337,706,1758
2286,707,707
2812,707,1233
3338,707,1759
2287,708,708
2813,708,1234
3339,708,1760
2288,709,709
2814,709,1235
3340,709,1761
2289,710,710
2815,710,1236
3341,710,1762
2290,711,711
2816,711,1237
3342,711,1763
2291,712,712
2817,712,1238
3343,712,1764
2292,713,713
2818,713,1239
3344,713,1765
2293,714,714
2819,714,1240
3345,714,1766
2294,715,715
2820,715,1241
3346,715,1767
2295,716,716
2821,716,1242
3347,716,1768
2296,717,717
2822,717,1243
3348,717,1769
2297,718,718
2823,718,1244
3349,718,1770
2298,719,719
2824,719,1245
3350,719,1771
2299,720,720
2825,720,1246
3351,720,1772
2300,721,721
2826,721,1247
3352,721,1773
2301,722,722
2827,722,1248
3353,722,1774
2302,723,723
2828,723,1249
3354,723,1775
2303,724,724
2829,724,1250
3355,724,1776
2304,725,725
2830,725,1251
3356,725,1777
2305,726,726
2831,726,1252
3357,726,1778
2306,727,727
2832,727,1253
3358,727,1779
2307,728,728
2833,728,1254
3359,728,1780
2308,729,729
2834,729,1255
3360,729,1781
2309,730,730
2835,730,1256
3361,730,1782
2310,731,731
2836,731,1257
3362,731,1783
2311,732,732
2837,732,1258
3363,732,1784
2312,733,733
2838,733,1259
3364,733,1785
2313,734,734
2839,734,1260
3365,734,1786
2314,735,735
2840,735,1261
3366,735,1787
2315,736,736
2841,736,1262
3367,736,1788
2316,737,737
2842,737,1263
3368,737,1789
2317,738,738
2843,738,1264
3369,738,1790
2318,739,739
2844,739,1265
3370,739,1791
2319,740,740
2845,740,1266
3371,740,1792
2320,741,741
2846,741,1267
3372,741,1793
2321,742,742
2847,742,1268
3373,742,1794
2322,743,743
2848,743,1269
3374,743,1795
2323,744,744
2849,744,1270
3375,744,1796
2324,745,745
2850,745,1271
3376,745,1797
2325,746,746
2851,746,1272
3377,746,1798
2326,747,747
2852,747,1273
3378,747,1799
2327,748,748
2853,748,1274
3379,748,1800
2328,749,749
2854,749,1275
3380,749,1801
2329,750,750
2855,750,1276
3381,750,1802
2330,751,751
2856,751,1277
3382,751,1803
2331,752,752
2857,752,1278
3383,752,1804
2332,753,753
2858,753,1279
3384,753,1805
2333,754,754
2859,754,1280
3385,754,1806
2334,755,755
2860,755,1281
3386,755,1807
2335,756,756
2861,756,1282
3387,756,1808
2336,757,757
2862,757,1283
3388,757,1809
2337,758,758
2863,758,1284
3389,758,1810
2338,759,759
2864,759,1285
3390,759,1811
2339,760,760
2865,760,1286
3391,760,1812
2340,761,761
2866,761,1287
3392,761,1813
2341,762,762
2867,762,1288
3393,762,1814
2342,763,763
2868,763,1289
3394,763,1815
2343,764,764
2869,764,1290
3395,764,1816
2344,765,765
2870,765,1291
3396,765,1817
2345,766,766
2871,766,1292
3397,766,1818
2346,767,767
2872,767,1293
3398,767,1819
2347,768,768
2873,768,1294
3399,768,1820
2348,769,769
2874,769,1295
3400,769,1821
2349,770,770
2875,770,1296
3401,770,1822
2350,771,771
2876,771,1297
3402,771,1823
2351,772,772
2877,772,1298
3403,772,1824
2352,773,773
2878,773,1299
3404,773,1825
2353,774,774
2879,774,1300
3405,774,1826
2354,775,775
2880,775,1301
3406,775,1827
2355,776,776
2881,776,1302
3407,776,1828
2356,777,777
2882,777,1303
3408,777,1829
2357,778,778
2883,778,1304
3409,778,1830
2358,779,779
2884,779,1305
3410,779,1831
2359,780,780
2885,780,1306
3411,780,1832
2360,781,781
2886,781,1307
3412,781,1833
2361,782,782
2887,782,1308
3413,782,1834
2362,783,783
2888,783,1309
3414,783,1835
2363,784,784
2889,784,1310
3415,784,1836
2364,785,785
2890,785,1311
3416,785,1837
2365,786,786
2891,786,1312
3417,786,1838
2366,787,787
2892,787,1313
3418,787,1839
2367,788,788
2893,788,1314
3419,788,1840
2368,789,789
2894,789,1315
3420,789,1841
2369,790,790
2895,790,1316
3421,790,1842
2370,791,791
2896,791,1317
3422,791,1843
2371,792,792
2897,792,1318
3423,792,1844
2372,793,793
2898,793,1319
3424,793,1845
2373,794,794
2899,794,1320
3425,794,1846
2374,795,795
2900,795,1321
3426,795,1847
2375,796,796
2901,796,1322
3427,796,1848
2376,797,797
2902,797,1323
3428,797,1849
2377,798,798
2903,798,1324
3429,798,1850
2378,799,799
2904,799,1325
3430,799,1851
2379,800,800
2905,800,1326
3431,800,1852
2380,801,801
2906,801,1327
3432,801,1853
2381,802,802
2907,802,1328
3433,802,1854
2382,803,803
2908,803,1329
3434,803,1855
2383,804,804
2909,804,1330
3435,804,1856
2384,805,805
2910,805,1331
3436,805,1857
2385,806,806
2911,806,1332
3437,806,1858
2386,807,807
2912,807,1333
3438,807,1859
2387,808,808
2913,808,1334
3439,808,1860
2388,809,809
2914,809,1335
3440,809,1861
2389,810,810
2915,810,1336
3441,810,1862
2390,811,811
2916,811,1337
3442,811,1863
2391,812,812
2917,812,1338
3443,812,1864
2392,813,813
2918,813,1339
3444,813,1865
2393,814,814
2919,814,1340
3445,814,1866
2394,815,815
2920,815,1341
3446,815,1867
2395,816,816
2921,816,1342
3447,816,1868
2396,817,817
2922,817,1343
3448,817,1869
2397,818,818
2923,818,1344
3449,818,1870
2398,819,819
2924,819,1345
3450,819,1871
2399,820,820
2925,820,1346
3451,820,1872
2400,821,821
2926,821,1347
3452,821,1873
2401,822,822
2927,822,1348
3453,822,1874
2402,823,823
2928,823,1349
3454,823,1875
2403,824,824
2929,824,1350
3455,824,1876
2404,825,825
2930,825,1351
3456,825,1877
2405,826,826
2931,826,1352
3457,826,1878
2406,827,827
2932,827,1353
3458,827,1879
2407,828,828
2933,828,1354
3459,828,1880
2408,829,829
2934,829,1355
3460,829,1881
2409,830,830
2935,830,1356
3461,830,1882
2410,831,831
2936,831,1357
3462,831,1883
2411,832,832
2937,832,1358
3463,832,1884
2412,833,833
2938,833,1359
3464,833,1885
2413,834,834
2939,834,1360
3465,834,1886
2414,835,835
2940,835,1361
3466,835,1887
2415,836,836
2941,836,1362
3467,836,1888
2416,837,837
2942,837,1363
3468,837,1889
2417,838,838
2943,838,1364
3469,838,1890
2418,839,839
2944,839,1365
3470,839,1891
2419,840,840
2945,840,1366
3471,840,1892
2420,841,841
2946,841,1367
3472,841,1893
2421,842,842
2947,842,1368
3473,842,1894
2422,843,843
2948,843,1369
3474,843,1895
2423,844,844
2949,844,1370
3475,844,1896
2424,845,845
2950,845,1371
3476,845,1897
2425,846,846
2951,846,1372
3477,846,1898
2426,847,847
2952,847,1373
3478,847,1899
2427,848,848
2953,848,1374
3479,848,1900
2428,849,849
2954,849,1375
3480,849,1901
2429,850,850
2955,850,1376
3481,850,1902
2430,851,851
2956,851,1377
3482,851,1903
2431,852,852
2957,852,1378
3483,852,1904
2432,853,853
2958,853,1379
3484,853,1905
2433,854,854
2959,854,1380
3485,854,1906
2434,855,855
2960,855,1381
3486,855,1907
2435,856,856
2961,856,1382
3487,856,1908
2436,857,857
2962,857,1383
3488,857,1909
2437,858,858
2963,858,1384
3489,858,1910
2438,859,859
2964,859,1385
3490,859,1911
2439,860,860
2965,860,1386
3491,860,1912
2440,861,861
2966,861,1387
3492,861,1913
2441,862,862
2967,862,1388
3493,862,1914
2442,863,863
2968,863,1389
3494,863,1915
2443,864,864
2969,864,1390
3495,864,1916
2444,865,865
2970,865,1391
3496,865,1917
2445,866,866
2971,866,1392
3497,866,1918
2446,867,867
2972,867,1393
3498,867,1919
2447,868,868
2973,868,1394
3499,868,1920
2448,869,869
2974,869,1395
3500,869,1921
2449,870,870
2975,870,1396
3501,870,1922
2450,871,871
2976,871,1397
3502,871,1923
2451,872,872
2977,872,1398
3503,872,1924
2452,873,873
2978,873,1399
3504,873,1925
2453,874,874
2979,874,1400
3505,874,1926
2454,875,875
2980,875,1401
3506,875,1927
2455,876,876
2981,876,1402
3507,876,1928
2456,877,877
2982,877,1403
3508,877,1929
2457,878,878
2983,878,1404
3509,878,1930
2458,879,879
2984,879,1405
3510,879,1931
2459,880,880
2985,880,1406
3511,880,1932
2460,881,881
2986,881,1407
3512,881,1933
2461,882,882
2987,882,1408
3513,882,1934
2462,883,883
2988,883,1409
3514,883,1935
2463,884,884
2989,884,1410
3515,884,1936
2464,885,885
2990,885,1411
3516,885,1937
2465,886,886
2991,886,1412
3517,886,1938
2466,887,887
2992,887,1413
3518,887,1939
2467,888,888
2993,888,1414
3519,888,1940
2468,889,889
2994,889,1415
3520,889,1941
2469,890,890
2995,890,1416
3521,890,1942
2470,891,891
2996,891,1417
3522,891,1943
2471,892,892
2997,892,1418
3523,892,1944
2472,893,893
2998,893,1419
3524,893,1945
2473,894,894
2999,894,1420
3525,894,1946
2474,895,895
3000,895,1421
3526,895,1947
2475,896,896
3001,896,1422
3527,896,1948
2476,897,897
3002,897,1423
3528,897,1949
2477,898,898
3003,898,1424
3529,898,1950
2478,899,899
3004,899,1425
3530,899,1951
2479,900,900
3005,900,1426
3531,900,1952
2480,901,901
3006,901,1427
3532,901,1953
2481,902,902
3007,902,1428
3533,902,1954
2482,903,903
3008,903,1429
3534,903,1955
2483,904,904
3009,904,1430
3535,904,1956
2484,905,905
3010,905,1431
3536,905,1957
2485,906,906
3011,906,1432
3537,906,1958
2486,907,907
3012,907,1433
3538,907,1959
2487,908,908
3013,908,1434
3539,908,1960
2488,909,909
3014,909,1435
3540,909,1961
2489,910,910
3015,910,1436
3541,910,1962
2490,911,911
3016,911,1437
3542,911,1963
2491,912,912
3017,912,1438
3543,912,1964
2492,913,913
3018,913,1439
3544,913,1965
2493,914,914
3019,914,1440
3545,914,1966
2494,915,915
3020,915,1441
3546,915,1967
2495,916,916
3021,916,1442
3547,916,1968
2496,917,917
3022,917,1443
3548,917,1969
2497,918,918
3023,918,1444
3549,918,1970
2498,919,919
3024,919,1445
3550,919,1971
2499,920,920
3025,920,1446
3551,920,1972
2500,921,921
3026,921,1447
3552,921,1973
2501,922,922
3027,922,1448
3553,922,1974
2502,923,923
3028,923,1449
3554,923,1975
2503,924,924
3029,924,1450
3555,924,1976
2504,925,925
3030,925,1451
3556,925,1977
2505,926,926
3031,926,1452
3557,926,1978
2506,927,927
3032,927,1453
3558,927,1979
2507,928,928
3033,928,1454
3559,928,1980
2508,929,929
3034,929,1455
3560,929,1981
2509,930,930
3035,930,1456
3561,930,1982
2510,931,931
3036,931,1457
3562,931,1983
2511,932,932
3037,932,1458
3563,932,1984
2512,933,933
3038,933,1459
3564,933,1985
2513,934,934
3039,934,1460
3565,934,1986
2514,935,935
3040,935,1461
3566,935,1987
2515,936,936
3041,936,1462
3567,936,1988
2516,937,937
3042,937,1463
3568,937,1989
2517,938,938
3043,938,1464
3569,938,1990
2518,939,939
3044,939,1465
3570,939,1991
2519,940,940
3045,940,1466
3571,940,1992
2520,941,941
3046,941,1467
3572,941,1993
2521,942,942
3047,942,1468
3573,942,1994
2522,943,943
3048,943,1469
3574,943,1995
2523,944,944
3049,944,1470
3575,944,1996
2524,945,945
3050,945,1471
3576,945,1997
2525,946,946
3051,946,1472
3577,946,1998
2526,947,947
3052,947,1473
3578,947,1999
2527,948,948
3053,948,1474
3579,948,2000
2528,949,949
3054,949,1475
3580,949,2001
2529,950,950
3055,950,1476
3581,950,2002
2530,951,951
3056,951,1477
3582,951,2003
2531,952,952
3057,952,1478
3583,952,2004
2532,953,953
3058,953,1479
3584,953,2005
2533,954,954
3059,954,1480
3585,954,2006
2534,955,955
3060,955,1481
3586,955,2007
2535,956,956
3061,956,1482
3587,956,2008
2536,957,957
3062,957,1483
3588,957,2009
2537,958,958
3063,958,1484
3589,958,2010
2538,959,959
3064,959,1485
3590,959,2011
2539,960,960
3065,960,1486
3591,960,2012
2540,961,961
3066,961,1487
3592,961,2013
2541,962,962
3067,962,1488
3593,962,2014
2542,963,963
3068,963,1489
3594,963,2015
2543,964,964
3069,964,1490
3595,964,2016
2544,965,965
3070,965,1491
3596,965,2017
2545,966,966
3071,966,1492
3597,966,2018
2546,967,967
3072,967,1493
3598,967,2019
2547,968,968
3073,968,1494
3599,968,2020
2548,969,969
3074,969,1495
3600,969,2021
2549,970,970
3075,970,1496
3601,970,2022
2550,971,971
3076,971,1497
3602,971,2023
2551,972,972
3077,972,1498
3603,972,2024
2552,973,973
3078,973,1499
3604,973,2025
2553,974,974
3079,974,1500
3605,974,2026
2554,975,975
3080,975,1501
3606,975,2027
2555,976,976
3081,976,1502
3607,976,2028
2556,977,977
3082,977,1503
3608,977,2029
2557,978,978
3083,978,1504
3609,978,2030
2558,979,979
3084,979,1505
3610,979,2031
2559,980,980
3085,980,1506
3611,980,2032
2560,981,981
3086,981,1507
3612,981,2033
2561,982,982
3087,982,1508
3613,982,2034
2562,983,983
3088,983,1509
3614,983,2035
2563,984,984
3089,984,1510
3615,984,2036
2564,985,985
3090,985,1511
3616,985,2037
2565,986,986
3091,986,1512
3617,986,2038
2566,987,987
3092,987,1513
3618,987,2039
2567,988,988
3093,988,1514
3619,988,2040
2568,989,989
3094,989,1515
3620,989,2041
2569,990,990
3095,990,1516
3621,990,2042
2570,991,991
3096,991,1517
3622,991,2043
2571,992,992
3097,992,1518
3623,992,2044
2572,993,993
3098,993,1519
3624,993,2045
2573,994,994
3099,994,1520
3625,994,2046
2574,995,995
3100,995,1521
3626,995,2047
2575,996,996
3101,996,1522
3627,996,2048
2576,997,997
3102,997,1523
3628,997,2049
2577,998,998
3103,998,1524
3629,998,2050
2578,999,999
3104,999,1525
3630,999,2051
2579,1000,1000
3105,1000,1526
3631,1000,2052
2580,1001,1001
3106,1001,1527
3632,1001,2053
2581,1002,1002
3107,1002,1528
3633,1002,2054
2582,1003,1003
3108,1003,1529
3634,1003,2055
2583,1004,1004
3109,1004,1530
3635,1004,2056
2584,1005,1005
3110,1005,1531
3636,1005,2057
2585,1006,1006
3111,1006,1532
3637,1006,2058
2586,1007,1007
3112,1007,1533
3638,1007,2059
2587,1008,1008
3113,1008,1534
3639,1008,2060
2588,1009,1009
3114,1009,1535
3640,1009,2061
2589,1010,1010
3115,1010,1536
3641,1010,2062
2590,1011,1011
3116,1011,1537
3642,1011,2063
2591,1012,1012
3117,1012,1538
3643,1012,2064
2592,1013,1013
3118,1013,1539
3644,1013,2065
2593,1014,1014
3119,1014,1540
3645,1014,2066
2594,1015,1015
3120,1015,1541
3646,1015,2067
2595,1016,1016
3121,1016,1542
3647,1016,2068
2596,1017,1017
3122,1017,1543
3648,1017,2069
2597,1018,1018
3123,1018,1544
3649,1018,2070
2598,1019,1019
3124,1019,1545
3650,1019,2071
2599,1020,1020
3125,1020,1546
3651,1020,2072
2600,1021,1021
3126,1021,1547
3652,1021,2073
2601,1022,1022
3127,1022,1548
3653,1022,2074
2602,1023,1023
3128,1023,1549
3654,1023,2075
2603,1024,1024
3129,1024,1550
3655,1024,2076
2604,1025,1025
3130,1025,1551
3656,1025,2077
2605,1026,1026
3131,1026,1552
3657,1026,2078
2606,1027,1027
3132,1027,1553
3658,1027,2079
2607,1028,1028
3133,1028,1554
3659,1028,2080
2608,1029,1029
3134,1029,1555
3660,1029,2081
2609,1030,1030
3135,1030,1556
3661,1030,2082
2610,1031,1031
3136,1031,1557
3662,1031,2083
2611,1032,1032
3137,1032,1558
3663,1032,2084
2612,1033,1033
3138,1033,1559
3664,1033,2085
2613,1034,1034
3139,1034,1560
3665,1034,2086
2614,1035,1035
3140,1035,1561
3666,1035,2087
2615,1036,1036
3141,1036,1562
3667,1036,2088
2616,1037,1037
3142,1037,1563
3668,1037,2089
2617,1038,1038
3143,1038,1564
3669,1038,2090
2618,1039,1039
3144,1039,1565
3670,1039,2091
2619,1040,1040
3145,1040,1566
3671,1040,2092
2620,1041,1041
3146,1041,1567
3672,1041,2093
2621,1042,1042
3147,1042,1568
3673,1042,2094
2622,1043,1043
3148,1043,1569
3674,1043,2095
2623,1044,1044
3149,1044,1570
3675,1044,2096
2624,1045,1045
3150,1045,1571
3676,1045,2097
2625,1046,1046
3151,1046,1572
3677,1046,2098
2626,1047,1047
3152,1047,1573
3678,1047,2099
2627,1048,1048
3153,1048,1574
3679,1048,2100
2628,1049,1049
3154,1049,1575
3680,1049,2101
2629,1050,1050
3155,1050,1576
3681,1050,2102
2630,1051,1051
3156,1051,1577
3682,1051,2103
2631,1052,1052
3157,1052,1578
3683,1052,2104
